"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"ORF","2023-10-06","SWYDF","83682","0","83782","O"
"NQTRF","2023-10-06","SWZ","1362","0","4551","Q"
"ORF","2023-10-06","SWZCF","34","0","34","O"
"NCTRF","2023-10-06","SXC","500","0","500","B"
"NQTRF","2023-10-06","SXC","41624","1874","72144","Q"
"NYTRF","2023-10-06","SXC","103","0","174","N"
"NQTRF","2023-10-06","SXI","4239","0","7458","Q"
"NYTRF","2023-10-06","SXI","1","0","6","N"
"ORF","2023-10-06","SXOOF","272077","0","326424","O"
"NQTRF","2023-10-06","SXT","21629","102","46559","Q"
"NYTRF","2023-10-06","SXT","6","0","3942","N"
"NQTRF","2023-10-06","SXTC","56307","10281","108872","Q"
"NYTRF","2023-10-06","SXTC","7289","0","11114","N"
"NQTRF","2023-10-06","SXTP","20035","0","49452","Q"
"NYTRF","2023-10-06","SXTP","25","0","2451","N"
"NQTRF","2023-10-06","SXUS","396","0","457","Q"
"ORF","2023-10-06","SXYAY","39435","0","113116","O"
"NQTRF","2023-10-06","SY","11851","0","41698","Q"
"NYTRF","2023-10-06","SY","6","0","1870","N"
"ORF","2023-10-06","SYAAF","102038","0","117066","O"
"ORF","2023-10-06","SYAXF","68047","0","121422","O"
"NQTRF","2023-10-06","SYBT","8967","0","16613","Q"
"NYTRF","2023-10-06","SYBT","105","0","105","N"
"NCTRF","2023-10-06","SYBX","100","0","100","B"
"NQTRF","2023-10-06","SYBX","17678","0","20482","Q"
"NYTRF","2023-10-06","SYBX","488","14","773","N"
"NCTRF","2023-10-06","SYF","300","0","829","B"
"NQTRF","2023-10-06","SYF","607646","1075","974692","Q"
"NYTRF","2023-10-06","SYF","14746","0","19079","N"
"NQTRF","2023-10-06","SYFpA","30131","0","46396","Q"
"NYTRF","2023-10-06","SYFpA","1511","0","1623","N"
"ORF","2023-10-06","SYHBF","66663","0","117955","O"
"ORF","2023-10-06","SYIEF","84","0","93","O"
"ORF","2023-10-06","SYIEY","290024","0","409117","O"
"NCTRF","2023-10-06","SYK","138","0","144","B"
"NQTRF","2023-10-06","SYK","245207","119","575701","Q"
"NYTRF","2023-10-06","SYK","6402","0","9808","N"
"NCTRF","2023-10-06","SYLD","301","0","302","B"
"NQTRF","2023-10-06","SYLD","20273","166","34782","Q"
"NYTRF","2023-10-06","SYLD","60","12","107","N"
"NCTRF","2023-10-06","SYM","1873","0","2760","B"
"NQTRF","2023-10-06","SYM","176041","858","316410","Q"
"NYTRF","2023-10-06","SYM","1256","380","2074","N"
"NQTRF","2023-10-06","SYNA","53347","0","99120","Q"
"NYTRF","2023-10-06","SYNA","783","0","821","N"
"NQTRF","2023-10-06","SYPR","3610","0","16204","Q"
"NQTRF","2023-10-06","SYRA","1730","0","5230","Q"
"NYTRF","2023-10-06","SYRA","100","0","120","N"
"NQTRF","2023-10-06","SYRS","5987","0","17202","Q"
"NYTRF","2023-10-06","SYRS","4","0","102","N"
"ORF","2023-10-06","SYSX","2000","0","3168","O"
"NQTRF","2023-10-06","SYT","92","0","92","Q"
"NQTRF","2023-10-06","SYTA","30973","343","67719","Q"
"NYTRF","2023-10-06","SYTA","3101","298","5288","N"
"NQTRF","2023-10-06","SYTAW","13104","0","13688","Q"
"NCTRF","2023-10-06","SYY","129","0","131","B"
"NQTRF","2023-10-06","SYY","448376","1432","1382078","Q"
"NYTRF","2023-10-06","SYY","1332","24","14897","N"
"ORF","2023-10-06","SYZLF","2200","0","2300","O"
"NQTRF","2023-10-06","SZK","8400","0","19868","Q"
"ORF","2023-10-06","SZKMY","3628","0","5187","O"
"ORF","2023-10-06","SZLMY","7705","0","7705","O"
"NQTRF","2023-10-06","SZNE","56","0","208","Q"
"ORF","2023-10-06","SZSMF","73054","0","94454","O"
"NCTRF","2023-10-06","T","15165","0","42624","B"
"NQTRF","2023-10-06","T","7149737","74317","22591043","Q"
"NYTRF","2023-10-06","T","593035","17646","1221299","N"
"NQTRF","2023-10-06","TAC","38594","77","100803","Q"
"NYTRF","2023-10-06","TAC","2430","0","3433","N"
"NQTRF","2023-10-06","TACK","2943","276","11874","Q"
"NCTRF","2023-10-06","TACT","76","0","156","B"
"NQTRF","2023-10-06","TACT","2251","0","4750","Q"
"NYTRF","2023-10-06","TACT","58","15","235","N"
"NQTRF","2023-10-06","TAFI","517200","0","525645","Q"
"NQTRF","2023-10-06","TAGS","131","0","368","Q"
"NQTRF","2023-10-06","TAIL","7636","632","23083","Q"
"ORF","2023-10-06","TAIPY","1432","0","10960","O"
"NQTRF","2023-10-06","TAIT","2211","12","6232","Q"
"NYTRF","2023-10-06","TAIT","23","0","23","N"
"NCTRF","2023-10-06","TAK","27090","0","28706","B"
"NQTRF","2023-10-06","TAK","486485","26","1238510","Q"
"NYTRF","2023-10-06","TAK","10342","0","18901","N"
"ORF","2023-10-06","TAKOF","19835","0","25290","O"
"NCTRF","2023-10-06","TAL","601","0","1401","B"
"NQTRF","2023-10-06","TAL","378626","0","1224834","Q"
"NYTRF","2023-10-06","TAL","17485","0","26757","N"
"NQTRF","2023-10-06","TALK","68097","0","408226","Q"
"NYTRF","2023-10-06","TALK","5097","0","16437","N"
"NCTRF","2023-10-06","TALO","200","0","200","B"
"NQTRF","2023-10-06","TALO","141113","30","349774","Q"
"NYTRF","2023-10-06","TALO","5074","0","6453","N"
"NQTRF","2023-10-06","TALS","8786","0","21328","Q"
