"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NYTRF","2024-07-08","TRVI","2799","0","2850","N"
"NQTRF","2024-07-05","TRVI","17127","0","22717","Q"
"NYTRF","2024-07-05","TRVI","214","0","223","N"
"NQTRF","2024-07-03","TRVI","13984","0","18760","Q"
"NYTRF","2024-07-03","TRVI","2016","0","2554","N"
"NQTRF","2024-07-02","TRVI","41382","0","60568","Q"
"NYTRF","2024-07-02","TRVI","9773","0","10122","N"
"NQTRF","2024-07-01","TRVI","45277","0","63951","Q"
"NYTRF","2024-07-01","TRVI","358","0","2469","N"
"NCTRF","2024-06-28","TRVI","100","0","100","B"
"NQTRF","2024-06-28","TRVI","43830","0","103508","Q"
"NYTRF","2024-06-28","TRVI","335","0","13119","N"
"NQTRF","2024-06-27","TRVI","52893","1747","85962","Q"
"NYTRF","2024-06-27","TRVI","46","0","3620","N"
"NQTRF","2024-06-26","TRVI","11953","0","21816","Q"
"NYTRF","2024-06-26","TRVI","407","0","482","N"
"NQTRF","2024-06-25","TRVI","41718","0","50807","Q"
"NYTRF","2024-06-25","TRVI","149","0","153","N"
"NQTRF","2024-06-24","TRVI","56708","0","77592","Q"
"NYTRF","2024-06-24","TRVI","6","0","560","N"
"NQTRF","2024-06-21","TRVI","26356","0","37015","Q"
"NYTRF","2024-06-21","TRVI","3","0","201","N"
"NQTRF","2024-06-20","TRVI","29626","0","41119","Q"
"NYTRF","2024-06-20","TRVI","448","0","449","N"
"NQTRF","2024-06-18","TRVI","19331","0","31301","Q"
"NYTRF","2024-06-18","TRVI","200","0","959","N"
"NQTRF","2024-06-17","TRVI","28392","2681","176079","Q"
"NYTRF","2024-06-17","TRVI","612","0","744","N"
"NQTRF","2024-06-14","TRVI","13164","1356","153563","Q"
"NYTRF","2024-06-14","TRVI","3366","0","25760","N"
"NQTRF","2024-06-13","TRVI","99720","0","118065","Q"
"NYTRF","2024-06-13","TRVI","22","0","302","N"
"NCTRF","2024-06-12","TRVI","600","0","600","B"
"NQTRF","2024-06-12","TRVI","33159","0","644748","Q"
"NYTRF","2024-06-12","TRVI","1381","0","2012","N"
"NQTRF","2024-06-11","TRVI","13547","0","23521","Q"
"NYTRF","2024-06-11","TRVI","19","0","961","N"
"NQTRF","2024-06-10","TRVI","18744","200","51504","Q"
"NYTRF","2024-06-10","TRVI","1055","0","2422","N"
"NQTRF","2024-06-07","TRVI","20370","0","33612","Q"
"NYTRF","2024-06-07","TRVI","386","0","406","N"
"NQTRF","2024-06-06","TRVI","8071","0","33629","Q"
"NYTRF","2024-06-06","TRVI","22","0","3142","N"
"NQTRF","2024-06-05","TRVI","22599","0","191976","Q"
"NYTRF","2024-06-05","TRVI","2103","0","2316","N"
"NQTRF","2024-06-04","TRVI","33387","0","96321","Q"
"NYTRF","2024-06-04","TRVI","22","0","370","N"
