"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NYTRF","2023-04-13","SILJ","173484","423","440069","N"
"NQTRF","2023-04-13","SILJ","460568","0","847545","Q"
"NQTRF","2023-04-12","SILJ","358096","0","590931","Q"
"NYTRF","2023-04-12","SILJ","113680","0","336072","N"
"NCTRF","2023-04-12","SILJ","600","0","600","B"
"NYTRF","2023-04-11","SILJ","68093","0","190270","N"
"NCTRF","2023-04-11","SILJ","500","0","1300","B"
"NQTRF","2023-04-11","SILJ","265828","0","487791","Q"
"NQTRF","2023-04-10","SILJ","306564","1047","485761","Q"
"NCTRF","2023-04-10","SILJ","751","0","751","B"
"NYTRF","2023-04-10","SILJ","44481","0","88701","N"
"NQTRF","2023-04-06","SILJ","91599","0","275813","Q"
"NCTRF","2023-04-06","SILJ","690","0","690","B"
"NYTRF","2023-04-06","SILJ","41881","0","117536","N"
"NYTRF","2023-04-05","SILJ","112800","1106","297990","N"
"NQTRF","2023-04-05","SILJ","328647","11600","639431","Q"
"NCTRF","2023-04-05","SILJ","945","0","945","B"
"NYTRF","2023-04-04","SILJ","86054","0","324644","N"
"NCTRF","2023-04-04","SILJ","3100","0","5430","B"
"NQTRF","2023-04-04","SILJ","539409","597","880291","Q"
"NCTRF","2023-04-03","SILJ","1500","0","1500","B"
"NYTRF","2023-04-03","SILJ","41977","0","113886","N"
"NQTRF","2023-04-03","SILJ","139505","1","391391","Q"
"NCTRF","2023-03-31","SILJ","1000","0","1500","B"
"NQTRF","2023-03-31","SILJ","197136","1","451100","Q"
"NYTRF","2023-03-31","SILJ","30642","0","146835","N"
"NQTRF","2023-03-30","SILJ","118072","10","292340","Q"
"NYTRF","2023-03-30","SILJ","50253","0","120375","N"
"NCTRF","2023-03-30","SILJ","2240","0","2240","B"
"NQTRF","2023-03-29","SILJ","100708","0","341314","Q"
"NCTRF","2023-03-29","SILJ","1100","0","2000","B"
"NYTRF","2023-03-29","SILJ","25756","0","74451","N"
"NYTRF","2023-03-28","SILJ","50749","0","116329","N"
"NCTRF","2023-03-28","SILJ","1262","0","1262","B"
"NQTRF","2023-03-28","SILJ","302617","0","524447","Q"
"NQTRF","2023-03-27","SILJ","123593","198","290463","Q"
"NCTRF","2023-03-27","SILJ","4000","0","4000","B"
"NYTRF","2023-03-27","SILJ","23042","0","109315","N"
"NCTRF","2023-03-24","SILJ","200","0","700","B"
"NYTRF","2023-03-24","SILJ","59737","0","169342","N"
"NQTRF","2023-03-24","SILJ","186017","0","365379","Q"
"NYTRF","2023-03-23","SILJ","111157","0","263941","N"
"NCTRF","2023-03-23","SILJ","1000","0","1720","B"
"NQTRF","2023-03-23","SILJ","351962","1010","712215","Q"
"NYTRF","2023-03-22","SILJ","116161","0","284135","N"
"NQTRF","2023-03-22","SILJ","244956","180","482057","Q"
"NCTRF","2023-03-22","SILJ","500","0","1600","B"
"NQTRF","2023-03-21","SILJ","306908","2019","582965","Q"
"NYTRF","2023-03-21","SILJ","89434","0","339325","N"
"NCTRF","2023-03-21","SILJ","3746","0","4446","B"
"NYTRF","2023-03-20","SILJ","160890","0","351485","N"
"NQTRF","2023-03-20","SILJ","199628","13420","435465","Q"
"NCTRF","2023-03-20","SILJ","800","0","9720","B"
"NQTRF","2023-03-17","SILJ","448086","0","741957","Q"
"NYTRF","2023-03-17","SILJ","186552","0","446108","N"
"NCTRF","2023-03-17","SILJ","3505","0","5340","B"
"NYTRF","2023-03-16","SILJ","71428","363","152414","N"
"NCTRF","2023-03-16","SILJ","1800","0","1800","B"
"NQTRF","2023-03-16","SILJ","138179","70","291794","Q"
"NCTRF","2023-03-15","SILJ","700","0","2700","B"
"NYTRF","2023-03-15","SILJ","103773","1595","289178","N"
"NQTRF","2023-03-15","SILJ","166959","300","491259","Q"
"NYTRF","2023-03-14","SILJ","57214","0","173688","N"
"NQTRF","2023-03-14","SILJ","126071","0","253304","Q"
"NCTRF","2023-03-14","SILJ","501","0","1101","B"
"NQTRF","2023-03-13","SILJ","218926","152","600811","Q"
"NYTRF","2023-03-13","SILJ","63525","0","197637","N"
"NCTRF","2023-03-13","SILJ","50","0","1055","B"
"NCTRF","2023-03-10","SILJ","100","0","700","B"
"NYTRF","2023-03-10","SILJ","76323","227","405266","N"
"NQTRF","2023-03-10","SILJ","205835","15600","492630","Q"
"NYTRF","2023-03-09","SILJ","49484","606","162001","N"
"NQTRF","2023-03-09","SILJ","111608","0","255145","Q"
"NCTRF","2023-03-09","SILJ","600","0","3255","B"
"NYTRF","2023-03-08","SILJ","17323","1336","99568","N"
"NQTRF","2023-03-08","SILJ","65371","6","213751","Q"
"NCTRF","2023-03-07","SILJ","3950","0","6259","B"
"NQTRF","2023-03-07","SILJ","198105","300","619685","Q"
"NYTRF","2023-03-07","SILJ","71860","0","282407","N"
"NCTRF","2023-03-06","SILJ","2010","0","2150","B"
"NYTRF","2023-03-06","SILJ","115184","0","190566","N"
"NQTRF","2023-03-06","SILJ","95622","5226","319038","Q"
"NCTRF","2023-03-03","SILJ","2000","0","4805","B"
"NQTRF","2023-03-03","SILJ","94250","201","347364","Q"
"NYTRF","2023-03-03","SILJ","21136","0","107282","N"
"NCTRF","2023-03-02","SILJ","2800","0","2800","B"
"NQTRF","2023-03-02","SILJ","64281","0","202959","Q"
"NYTRF","2023-03-02","SILJ","18675","1603","92143","N"
"NQTRF","2023-03-01","SILJ","158480","1300","345149","Q"
